spec,outcome,term,b,se,pval,lo,hi,n,r2
singleyear,overall,gs_strictness_enacted,.1246138436356558,.0451178116478824,.0070893765395131,.0348601436671308,.2143675436041808,96,.6514871542412399
att8,overall,gs_warmth_enacted,.3371100342946307,.1012814167439977,.0013096101749065,.1356290324727134,.538591036116548,96,.8287538804946091
att8,overall,gs_strictness_enacted,.2180039882846013,.1062901080800805,.0434571079324687,.0065591038408453,.4294488727283573,96,.8287538804946091
semh,overall,gs_warmth_enacted,.1631571554762616,.0438538515018621,.0003787959556918,.0758146406125782,.250499670339945,91,.6592131540678168
semh,overall,gs_strictness_enacted,.1053172149441473,.0401152922373549,.0104605342365285,.0254206861671162,.1852137437211784,91,.6592131540678168
semh_sample,overall,gs_warmth_enacted,.1652626692755952,.0443674541008917,.0003704660496056,.0769157812850022,.2536095572661882,91,.6390379925219358
semh_sample,overall,gs_strictness_enacted,.1154938212813538,.0405327695902763,.0056166556503944,.0347827656774515,.1962048768852561,91,.6390379925219358
wxs,overall,gs_warmth_enacted,-.1231784759363784,.253884839278058,.6288621480667502,-.6283296683809843,.3819727165082274,96,.6560414975908742
wxs,overall,gs_strictness_enacted,-.1296443214010818,.2315364725913203,.5770721291745547,-.5903292742974858,.3310406314953221,96,.6560414975908742
wxs,overall,wxs,.0397207442814572,.0365902959087741,.2808965703959359,-.0330824670594717,.1125239556223861,96,.6560414975908742
espoused,overall,gs_warmth_espoused,.0144398989744867,.0284648555213393,.6123941750184292,-.0416183549435739,.0704981528925473,267,.4492948183355563
espoused,overall,gs_strictness_espoused,.0851820168831302,.0279268450517577,.0025301557215123,.0301833126083752,.1401807211578852,267,.4492948183355563
espoused_t1,overall,gs_warmth_espoused,.0364461984746157,.0497400555018562,.4658104828611479,-.0625026169682299,.1353950139174613,96,.5090402620250896
espoused_t1,overall,gs_strictness_espoused,.113015555496913,.0471417034667428,.0187865023172786,.0192356899754921,.2067954210183339,96,.5090402620250896
espoused,english,gs_warmth_espoused,-.0025822431456679,.0269738692853273,.9238097762210944,-.0557041714272244,.0505396851358886,267,.4143728683303006
espoused,english,gs_strictness_espoused,.0775912129130958,.0280668703505475,.006120282918854,.0223167449426977,.1328656808834939,267,.4143728683303006
espoused_t1,english,gs_warmth_espoused,-.0061732666034014,.0503042593083605,.9026302354249907,-.1062444631485331,.0938979299417303,96,.5043529509389104
espoused_t1,english,gs_strictness_espoused,.1072767892162918,.0478434427380756,.0276453695144604,.0121009407401371,.2024526376924465,96,.5043529509389104
espoused,maths,gs_warmth_espoused,.0224405140747362,.0339110269429377,.5087357492658178,-.0443433470822008,.0892243752316732,267,.3645115547117443
espoused,maths,gs_strictness_espoused,.0446162692918063,.0299844846026716,.1380018679116867,-.0144347190470819,.1036672576306945,267,.3645115547117443
espoused_t1,maths,gs_warmth_espoused,.0916527437119723,.055418944499711,.101988330332742,-.0185931909982245,.2018986784221691,96,.4328518114788088
espoused_t1,maths,gs_strictness_espoused,.0374177703767778,.0451455840014446,.4096097418893064,-.0523911776500639,.1272267184036195,96,.4328518114788088
espoused,ebac,gs_warmth_espoused,.0171996766089754,.034723213468852,.6207925202135677,-.05118369235029,.0855830455682408,267,.4506989324118338
espoused,ebac,gs_strictness_espoused,.0861410147111166,.0334808824538138,.0106576490832694,.0202042735746794,.1520777558475538,267,.4506989324118338
espoused_t1,ebac,gs_warmth_espoused,.0661786561275353,.0680288214884614,.3335120687364733,-.0691523408795921,.2015096531346627,96,.4717256599566566
espoused_t1,ebac,gs_strictness_espoused,.1250715540803006,.0576972385852462,.0330794236894595,.0102933666671341,.2398497414934671,96,.4717256599566566
espoused,open,gs_warmth_espoused,.0177144662532491,.0326227571808317,.5876013406850971,-.0465322960104595,.0819612285169577,267,.3532823572782001
espoused,open,gs_strictness_espoused,.1212862033148145,.0320995903903444,.0001968404851741,.0580697577783645,.1845026488512645,267,.3532823572782001
espoused_t1,open,gs_warmth_espoused,.0022048090895359,.0522915714306079,.9664706533965737,-.101819784339205,.1062294025182768,96,.4755642257086771
espoused_t1,open,gs_strictness_espoused,.1604289328759373,.0551946259245778,.0046973675172504,.0506292392699634,.2702286264819112,96,.4755642257086771
mgmt,overall,trx_warmth,.0429908262210429,.0212941206518596,.0444889844736375,.00106649356243,.0849151588796558,282,.4298751950247212
mgmt,overall,trx_strictness,.0052057938810206,.0295034256113244,.8600754716145722,-.0528811987739113,.0632927865359525,282,.4298751950247212
mgmt,overall,trx_management,-.0216471559654037,.0331502517158622,.5143131696355616,-.0869140999906875,.0436197880598801,282,.4298751950247212
teachphil,overall,trad,.1239217292469693,.045366333001476,.0063382054780881,.0349712586849291,.2128721998090095,3170,.4592269616331425
teachphil,overall,prog,-.0876527245695011,.0714913921603532,.2202675744166697,-.2278270025652974,.0525215534262952,3170,.4592269616331425
mgmt,english,trx_warmth,.0258178581077713,.0214164447084035,.2290636666357082,-.0163473088413268,.0679830250568694,282,.4088270146576002
mgmt,english,trx_strictness,-.0057485713087118,.0303252723285593,.8497939787023068,-.0654536338398814,.0539564912224578,282,.4088270146576002
mgmt,english,trx_management,.0187554723673952,.0324342597065831,.5635716031081959,-.0451018108567367,.0826127555915271,282,.4088270146576002
teachphil,english,trad,.1248447428403235,.0479201832823283,.0092234208876702,.0308868985454445,.2188025871352025,3170,.4060929900943414
teachphil,english,prog,-.0427431660225904,.0816036397792572,.6004614026264345,-.2027446842785179,.1172583522333371,3170,.4060929900943414
mgmt,maths,trx_warmth,.0071526168109792,.0214282877383279,.7387956686447958,-.035035866955674,.0493411005776324,282,.3618625159638518
mgmt,maths,trx_strictness,.0154788859108905,.0305932064690166,.6133003140232018,-.0447536912436243,.0757114630654053,282,.3618625159638518
mgmt,maths,trx_management,-.025396220964298,.0304915724123782,.4056438776034249,-.0854286987547857,.0346362568261897,282,.3618625159638518
teachphil,maths,trad,.1140440275145794,.0444561900964419,.0103540700194111,.0268780882189048,.201209966810254,3170,.4213588834249716
teachphil,maths,prog,-.0236513325804621,.0614488779676533,.7003415310226624,-.1441350977230913,.0968324325621671,3170,.4213588834249716
mgmt,ebac,trx_warmth,.0546192477114022,.0245816456064201,.0271186356446541,.0062223636818338,.1030161317409706,282,.448317223749136
mgmt,ebac,trx_strictness,.0288987161475777,.0335555739507799,.3898841378009708,-.0371662352004051,.0949636674955605,282,.448317223749136
mgmt,ebac,trx_management,-.0338162162654921,.037451693169604,.3673714485173195,-.1075519327452266,.0399195002142424,282,.448317223749136
teachphil,ebac,trad,.1457914090623994,.0522256015231203,.0052768457027153,.0433918646532004,.2481909534715984,3170,.4497275971002944
teachphil,ebac,prog,-.0539613249140903,.0912676760486907,.5544002951329634,-.2329112685070792,.1249886186788986,3170,.4497275971002944
mgmt,open,trx_warmth,.0683207295474488,.0264395755550005,.0102929692441783,.0162659122087686,.120375546886129,282,.3224413656393946
mgmt,open,trx_strictness,-.0182889918076116,.0344001574666164,.5954042101053365,-.0860167777405398,.0494387941253166,282,.3224413656393946
mgmt,open,trx_management,-.0344961421610339,.0423894911045844,.4164850461861868,-.1179535037188454,.0489612193967776,282,.3224413656393946
teachphil,open,trad,.1156436291660698,.0506437666991996,.0224687010691383,.0163456127541764,.2149416455779632,3170,.3568051763127856
teachphil,open,prog,-.1884080375960838,.1002454676593812,.060272774937184,-.3849608760131457,.0081448008209781,3170,.3568051763127856
primary_stage1,overall,gs_warmth_enacted,.1431480534462415,.045321078114857,.0021958355225686,.053037608298203,.23325849859428,99,.623652407593831
primary_stage1,overall,gs_strictness_enacted,.1311728464760815,.0473297591033396,.006854338384984,.0370686053822835,.2252770875698795,99,.623652407593831
primary_warmth,overall,gs_warmth_enacted,.2184976371289604,.0356769699265962,2.64344372034e-08,.147574168236919,.2894211060210018,99,.5898301675395108
primary_strict,overall,gs_strictness_enacted,.2275626969476996,.0375218241314535,3.42737084680e-08,.1529717792762984,.3021536146191008,99,.5764358499959235
primary_stage2,overall,gs_teaching_enacted,.2452786901190616,.0499194993580047,4.22965991661e-06,.1460420097869572,.344515370451166,99,.5545715300359628
primary_stage3,overall,gs_warmth_enacted,.1314166768193013,.0620578205399478,.0371610429487666,.0080078949821174,.2548254586564852,99,.6241207075005977
primary_stage3,overall,gs_strictness_enacted,.1260387181953989,.0470504980696821,.0088876613621728,.0324736428980072,.2196037934927906,99,.6241207075005977
primary_stage3,overall,gs_teaching_enacted,.0235608947259075,.0766669981167399,.7593644698231816,-.1288998388670499,.1760216283188649,99,.6241207075005977
primary_stage1,english,gs_warmth_enacted,.1673053443917339,.0431333631114095,.0002063634954243,.0815446627757565,.2530660260077113,99,.6209689813820104
primary_stage1,english,gs_strictness_enacted,.0866966084041608,.0494943302825964,.0834414090084025,-.0117113800988037,.1851045969071253,99,.6209689813820104
primary_warmth,english,gs_warmth_enacted,.2171064543428577,.0367729993657321,6.88272409744e-08,.144004151037713,.2902087576480024,99,.6077274519527676
primary_strict,english,gs_strictness_enacted,.1993529578324681,.0435411840055057,.0000156835567472,.112795948767776,.2859099668971602,99,.5631643670423788
primary_stage2,english,gs_teaching_enacted,.2232202199503394,.0499078950677048,.0000234893211359,.1240066081838613,.3224338317168175,99,.5559783350053726
primary_stage3,english,gs_warmth_enacted,.1735994899018394,.0634080175817721,.0075486135611499,.0475056931749617,.2996932866287171,99,.6210897959000528
primary_stage3,english,gs_strictness_enacted,.0894511828666289,.0505090237845681,.0801890732022828,-.0109915501008692,.189893915834127,99,.6210897959000528
primary_stage3,english,gs_teaching_enacted,-.0126409461113531,.0813048390801669,.8768191324381638,-.1743245350780774,.1490426428553712,99,.6210897959000528
primary_stage1,maths,gs_warmth_enacted,.1121947502044944,.0540280047484826,.0408580793220173,.0047726022580595,.2196168981509293,99,.5269914414207848
primary_stage1,maths,gs_strictness_enacted,.1096151804627704,.0514217539183667,.035918993791277,.0073749574006908,.21185540352485,99,.5269914414207848
primary_warmth,maths,gs_warmth_enacted,.1751609694721528,.0415028175990854,.0000602106945036,.0926560987116321,.2576658402326735,99,.5011832451209663
primary_strict,maths,gs_strictness_enacted,.1851623844628098,.0393311163563141,9.51114060944e-06,.1069747128885259,.2633500560370937,99,.4952979368727104
primary_stage2,maths,gs_teaching_enacted,.1967129645208667,.0577040314416993,.0009944780772317,.0820011465800207,.3114247824617127,99,.4765085047448649
primary_stage3,maths,gs_warmth_enacted,.1038005812581136,.0652200444996117,.1152437024027035,-.0258966297144001,.2334977922306273,99,.527253430562901
